Problem Size,p=1,p=2,p=3,p=4,p=8,p=16,p=28
1,9.88e-05,0.000154,0.000171,0.000186,0.000332,0.007511,0.001435
2,2.02e-05,1.07e-05,1.09e-05,1.16e-05,1.25e-05,0.004074,3.26e-05
4,2.72e-05,1.69e-05,1.85e-05,1.87e-05,1.89e-05,0.002263,4.78e-05
8,2.80e-05,1.78e-05,1.69e-05,1.86e-05,1.85e-05,2.77e-05,4.23e-05
16,3.68e-05,3.82e-05,2.36e-05,2.71e-05,3.52e-05,3.35e-05,5.49e-05
32,7.68e-05,5.94e-05,5.93e-05,5.64e-05,4.96e-05,6.18e-05,8.82e-05
64,0.0002366,0.000162,0.000196,0.0002,0.000154,0.00015,0.000203
128,0.0008156,0.000836,0.000791,0.000723,0.000564,0.000583,0.00061
256,0.0031714,0.003027,0.003038,0.003209,0.002424,0.002383,0.002741
512,0.012498,0.012262,0.012072,0.012814,0.009375,0.008748,0.010288
1024,0.048644,0.049824,0.048164,0.049713,0.037515,0.035188,0.039002
2048,0.1932552,0.196352,0.19308,0.202414,0.149582,0.130775,0.151139
4096,0.7718834,0.801177,0.770603,0.812411,0.602713,0.525256,0.736911
8192,3.097642,3.214631,3.105086,3.229742,2.413755,2.07342,2.664394
16384,12.363464,12.26034,12.39367,12.83614,9.577789,8.22451,10.06335
32768,49.88366,49.19255,49.57772,52.78826,38.37251,32.85767,39.61907
