Problem Size,Threads=1,Threads=2,Threads=3,Threads=4,Threads=8,Threads=16,Threads=28
1,4.94439e-05,0.0001541972,0.0001708306,0.0001861937,0.000331799,0.00751126,0.0014354102
2,1.00951e-05,1.06674e-05,1.09486e-05,1.16192e-05,1.25209e-05,0.0040738881,3.25534e-05
4,1.35589e-05,1.68532e-05,1.84644e-05,1.87047e-05,1.88651e-05,0.0022630934,4.78271e-05
8,1.40071e-05,1.77603e-05,1.69314e-05,1.8565e-05,1.84681e-05,2.77013e-05,4.23361e-05
16,1.83589e-05,3.82327e-05,2.35662e-05,2.70866e-05,3.52359e-05,3.35313e-05,5.49071e-05
32,3.8363e-05,5.94091e-05,5.92712e-05,5.64437e-05,4.9622e-05,6.17597e-05,8.81813e-05
64,0.0001182929,0.0001618378,0.0001958963,0.0001998004,0.0001539811,0.0001501404,0.0002030432
128,0.000407804,0.0008359198,0.0007907394,0.0007229168,0.000563815,0.0005833954,0.0006096382
256,0.0015856959,0.0030272268,0.0030381437,0.0032093767,0.0024240578,0.0023833346,0.0027413499
512,0.0062490231,0.012261929,0.0120718312,0.0128136706,0.0093751031,0.0087477583,0.0102879163
1024,0.0243219901,0.0498243235,0.0481639318,0.0497127362,0.037515121,0.0351876933,0.0390017442
2048,0.0966276319,0.1963517908,0.1930798069,0.2024143599,0.149581661,0.1307749543,0.1511393245
4096,0.3859417259,0.8011774234,0.7706029527,0.8124112226,0.602712844,0.5252561867,0.7369114496
8192,1.548820857,3.2146306597,3.1050859224,3.2297416218,2.413755286,2.0734195393,2.6643944569
16384,6.1817323212,12.2603358906,12.393673284,12.8361414913,9.577789458,8.2245097291,10.0633466505
32768,24.9418324588,49.1925541665,49.5777220745,52.7882580869,38.372511284,32.8576680087,39.6190657206
